county_fips,county,mean_elevation,mean_annual_precip,mean_survivability,station_count,survivability_category
37001,Alamance,141.2,53.5,0.5268,1,Medium
37003,Alexander,984.1,76.3,0.6862,4,High
37005,Alleghany,1750.2,74.7,0.6742,4,High
37007,Anson,480.0,54.3,0.5507,7,Medium
37009,Ashe,699.9,48.2,0.7609,4,High
37011,Avery,1407.0,71.3,0.8271,1,High
37013,Beaufort,3.4,63.6,0.5423,6,Medium
37015,Bertie,16.5,53.8,0.5163,3,Medium
37017,Bladen,382.3,54.5,0.5908,2,Medium
37019,Brunswick,347.3,41.5,0.3794,5,Medium
37021,Buncombe,867.1,58.9,0.8622,2,High
37023,Burke,132.5,41.3,0.6953,5,High
37025,Cabarrus,248.3,52.2,0.6815,1,High
37027,Caldwell,336.8,45.3,0.5979,3,Medium
37029,Camden,23.3,56.2,0.3773,2,Medium
37031,Carteret,9.9,53.7,0.3261,2,Low
37033,Caswell,287.5,40.8,0.3916,5,Medium
37035,Catawba,429.1,51.2,0.5884,4,Medium
37037,Chatham,484.9,45.6,0.45,1,Medium
37039,Cherokee,868.3,78.7,0.5543,5,Medium
37041,Chowan,117.3,53.4,0.5347,3,Medium
37043,Clay,467.6,43.8,0.5934,1,Medium
37045,Cleveland,309.2,49.4,0.5935,7,Medium
37047,Columbus,498.3,50.5,0.4845,7,Medium
37049,Craven,118.2,44.2,0.6826,6,High
37051,Cumberland,282.3,49.3,0.4471,4,Medium
37053,Currituck,19.4,52.8,0.3188,4,Low
37055,Dare,2.3,64.5,0.5459,6,Medium
37057,Davidson,112.9,44.2,0.4939,5,Medium
37059,Davie,373.9,42.4,0.6688,5,High
37061,Duplin,28.2,53.3,0.4243,1,Medium
37063,Durham,267.3,54.0,0.6531,5,Medium
37065,Edgecombe,165.9,46.2,0.6222,2,Medium
37067,Forsyth,494.9,42.3,0.5579,7,Medium
37069,Franklin,257.2,52.4,0.5492,1,Medium
37071,Gaston,287.5,46.2,0.4457,7,Medium
37073,Gates,445.9,52.2,0.6999,6,High
37075,Graham,1695.8,65.5,0.8041,2,High
37077,Granville,439.9,43.7,0.5077,6,Medium
37079,Greene,200.6,44.1,0.4225,1,Medium
37081,Guilford,368.7,49.3,0.4754,7,Medium
37083,Halifax,368.6,47.8,0.6203,3,Medium
37085,Harnett,223.1,52.2,0.6888,6,High
37087,Haywood,1652.0,59.1,0.5969,7,Medium
37089,Henderson,1104.6,72.5,0.7738,3,High
37091,Hertford,185.2,42.0,0.3551,6,Medium
37093,Hoke,343.2,49.5,0.5442,3,Medium
37095,Hyde,27.1,52.0,0.4042,7,Medium
37097,Iredell,258.6,49.3,0.6518,5,Medium
37099,Jackson,1555.8,61.1,0.8447,1,High
37101,Johnston,203.3,46.9,0.693,5,High
37103,Jones,239.0,43.1,0.5529,3,Medium
37105,Lee,130.3,41.9,0.3948,7,Medium
37107,Lenoir,260.1,50.5,0.413,4,Medium
37109,Lincoln,238.3,53.5,0.5159,5,Medium
37111,Macon,1767.7,66.1,0.6283,5,Medium
37113,Madison,802.7,54.8,0.612,5,Medium
37115,Martin,319.5,48.0,0.4746,6,Medium
37117,McDowell,1037.1,62.6,0.7916,1,High
37119,Mecklenburg,136.9,47.2,0.5907,6,Medium
37121,Mitchell,788.4,58.2,0.5509,4,Medium
37123,Montgomery,422.5,51.2,0.4146,7,Medium
37125,Moore,314.6,53.9,0.4326,4,Medium
37127,Nash,247.6,46.9,0.6116,6,Medium
37129,New Hanover,4.4,47.7,0.4561,7,Medium
37131,Northampton,15.4,55.6,0.2822,2,Low
37133,Onslow,10.6,52.9,0.2815,7,Low
37135,Orange,250.9,40.3,0.4627,7,Medium
37137,Pamlico,2.7,55.7,0.32,5,Low
37139,Pasquotank,17.8,58.6,0.4868,5,Medium
37141,Pender,14.4,56.7,0.471,7,Medium
37143,Perquimans,22.4,53.6,0.2883,1,Low
37145,Person,235.0,53.5,0.5626,3,Medium
37147,Pitt,242.4,54.8,0.562,1,Medium
37149,Polk,103.0,43.4,0.4779,4,Medium
37151,Randolph,440.3,41.3,0.6321,7,Medium
37153,Richmond,436.9,40.8,0.3564,5,Medium
37155,Robeson,493.0,41.7,0.4892,4,Medium
37157,Rockingham,467.0,40.1,0.6913,6,High
37159,Rowan,168.4,50.0,0.6753,7,High
37161,Rutherford,314.0,47.1,0.6435,5,Medium
37163,Sampson,174.8,44.9,0.4989,1,Medium
37165,Scotland,394.5,47.9,0.5975,6,Medium
37167,Stanly,215.5,48.7,0.404,4,Medium
37169,Stokes,228.3,48.9,0.4792,2,Medium
37171,Surry,319.4,48.2,0.4206,2,Medium
37173,Swain,705.4,49.9,0.5509,1,Medium
37175,Transylvania,1314.8,61.5,0.6941,6,High
37177,Tyrrell,3.2,62.0,0.4738,2,Medium
37179,Union,149.7,51.0,0.6784,4,High
37181,Vance,251.7,53.9,0.6026,4,Medium
37183,Wake,436.7,42.1,0.6283,6,Medium
37185,Warren,419.8,52.4,0.4152,3,Medium
37187,Washington,366.1,47.8,0.4756,5,Medium
37189,Watauga,1306.0,68.9,0.7082,6,High
37191,Wayne,459.9,49.4,0.5389,7,Medium
37193,Wilkes,1203.3,53.1,0.8649,7,High
37195,Wilson,312.7,41.0,0.4302,7,Medium
37197,Yadkin,146.8,54.1,0.5697,2,Medium
37199,Yancey,767.1,72.8,0.767,4,High
