county_fips,county,population
37001,Alamance,171779
37003,Alexander,36505
37005,Alleghany,10989
37007,Anson,22200
37009,Ashe,26759
37011,Avery,17679
37013,Beaufort,44711
37015,Bertie,17818
37017,Bladen,29807
37019,Brunswick,139721
37021,Buncombe,269449
37023,Burke,87799
37025,Cabarrus,226396
37027,Caldwell,80716
37029,Camden,10547
37031,Carteret,68353
37033,Caswell,22747
37035,Catawba,161011
37037,Chatham,76754
37039,Cherokee,28868
37041,Chowan,13835
37043,Clay,11186
37045,Cleveland,99527
37047,Columbus,50827
37049,Craven,101098
37051,Cumberland,335207
37053,Currituck,28616
37055,Dare,37160
37057,Davidson,169498
37059,Davie,43030
37061,Duplin,49312
37063,Durham,325101
37065,Edgecombe,49067
37067,Forsyth,383739
37069,Franklin,69680
37071,Gaston,228972
37073,Gates,10509
37075,Graham,8047
37077,Granville,61161
37079,Greene,20407
37081,Guilford,539557
37083,Halifax,48772
37085,Harnett,134718
37087,Haywood,62152
37089,Henderson,116469
37091,Hertford,21633
37093,Hoke,52612
37095,Hyde,4636
37097,Iredell,187839
37099,Jackson,42388
37101,Johnston,219042
37103,Jones,9263
37105,Lee,63560
37107,Lenoir,55071
37109,Lincoln,87933
37111,McDowell,44629
37113,Macon,37088
37115,Madison,21414
37117,Martin,21992
37119,Mecklenburg,1115403
37121,Mitchell,14989
37123,Montgomery,25839
37125,Moore,100759
37127,Nash,95015
37129,New Hanover,228134
37131,Northampton,17528
37133,Onslow,203686
37135,Orange,145919
37137,Pamlico,12317
37139,Pasquotank,40454
37141,Pender,61592
37143,Perquimans,13053
37145,Person,39131
37147,Pitt,171196
37149,Polk,19538
37151,Randolph,144403
37153,Richmond,43149
37155,Robeson,117573
37157,Rockingham,91209
37159,Rowan,147067
37161,Rutherford,64680
37163,Sampson,59317
37165,Scotland,34222
37167,Stanly,62723
37169,Stokes,44696
37171,Surry,71429
37173,Swain,14130
37175,Transylvania,33131
37177,Tyrrell,3389
37179,Union,240109
37181,Vance,42492
37183,Wake,1132103
37185,Warren,18803
37187,Washington,11051
37189,Watauga,54540
37191,Wayne,117480
37193,Wilkes,66125
37195,Wilson,78667
37197,Yadkin,37280
37199,Yancey,18538
