county_fips,county_name,total_employed,ag_workers,ag_pct
37001,Alamance,82298,8024,0.09749933169700357
37003,Alexander,16607,1772,0.10670199313542482
37005,Alleghany,4396,625,0.1421747042766151
37007,Anson,8731,944,0.1081204902073073
37009,Ashe,11710,1949,0.1664389410760034
37011,Avery,6698,874,0.13048671245147805
37013,Beaufort,19319,2837,0.1468502510481909
37015,Bertie,6308,762,0.12079898541534559
37017,Bladen,10949,1515,0.13836880080372638
37019,Brunswick,56463,6581,0.11655420363778049
37021,Buncombe,131883,11267,0.0854317842329944
37023,Burke,39539,4048,0.10237992867801411
37025,Cabarrus,113579,10272,0.09043925373528557
37027,Caldwell,36435,3738,0.10259365994236311
37029,Camden,4793,520,0.10849155017734195
37031,Carteret,30029,3093,0.10300043291484898
37033,Caswell,9556,1298,0.13583089158643785
37035,Catawba,75895,6008,0.07916200013176099
37037,Chatham,35458,3370,0.09504202154661853
37039,Cherokee,11391,1386,0.12167500658414537
37041,Chowan,5922,508,0.08578183046268152
37043,Clay,4386,436,0.09940720474236206
37045,Cleveland,43294,4196,0.09691874162701529
37047,Columbus,18872,2315,0.1226685036032217
37049,Craven,40158,3666,0.09128940684297027
37051,Cumberland,125174,10304,0.08231741415949
37053,Currituck,14123,2024,0.14331232740919067
37055,Dare,19041,2522,0.1324510267317893
37057,Davidson,77106,9096,0.11796747334837755
37059,Davie,19800,2160,0.10909090909090909
37061,Duplin,21679,3282,0.15139074680566447
37063,Durham,171659,11335,0.06603207521889327
37065,Edgecombe,20366,1494,0.07335755671216734
37067,Forsyth,178260,14003,0.07855379782340402
37069,Franklin,32725,3892,0.11893048128342246
37071,Gaston,109133,11608,0.10636562726214802
37073,Gates,4560,829,0.1817982456140351
37075,Graham,3171,549,0.17313150425733206
37077,Granville,26914,2620,0.09734710559560081
37079,Greene,8089,1153,0.14253925083446656
37081,Guilford,263584,18218,0.0691164865849217
37083,Halifax,18296,1446,0.07903366856143419
37085,Harnett,54157,6810,0.12574551766161346
37087,Haywood,28010,2233,0.0797215280257051
37089,Henderson,54554,5307,0.09727975950434432
37091,Hertford,8643,910,0.10528751590882796
37093,Hoke,19188,1693,0.08823222847613091
37095,Hyde,1410,90,0.06382978723404255
37097,Iredell,93283,8436,0.0904344843111821
37099,Jackson,19135,1762,0.09208257120459891
37101,Johnston,108178,13967,0.1291112795577659
37103,Jones,3858,578,0.14981855883877657
37105,Lee,28570,3173,0.11106055302765139
37107,Lenoir,22701,2946,0.12977401876569314
37109,Lincoln,42710,3923,0.09185202528681807
37111,McDowell,18793,2155,0.11467035598361092
37113,Macon,15716,1999,0.1271952150674472
37115,Madison,9715,1525,0.15697375193000515
37117,Martin,9084,989,0.10887274328489652
37119,Mecklenburg,603786,40393,0.06689953062840145
37121,Mitchell,6538,775,0.11853777913735088
37123,Montgomery,10947,1531,0.13985566821960355
37125,Moore,41529,3598,0.08663825278720894
37127,Nash,43173,4393,0.10175341069650012
37129,New Hanover,117011,9521,0.08136841835382998
37131,Northampton,6852,791,0.11544074722708698
37133,Onslow,67951,8246,0.12135215081455755
37135,Orange,72303,3843,0.05315132152192855
37137,Pamlico,4494,839,0.1866933689363596
37139,Pasquotank,17817,1930,0.10832351125329741
37141,Pender,27737,3657,0.13184554926632297
37143,Perquimans,5120,707,0.1380859375
37145,Person,18735,2376,0.1268214571657326
37147,Pitt,80853,5415,0.06697339616340767
37149,Polk,8553,1086,0.1269729919326552
37151,Randolph,67217,6516,0.09693976226252288
37153,Richmond,17862,2357,0.13195610793864068
37155,Robeson,43618,6478,0.14851666743087716
37157,Rockingham,39418,5084,0.12897660967070881
37159,Rowan,66742,8710,0.1305025321386833
37161,Rutherford,26708,3079,0.11528381009435375
37163,Sampson,24799,4313,0.17391830315738538
37165,Scotland,12673,1134,0.0894815750019727
37167,Stanly,28739,4104,0.1428024635512718
37169,Stokes,19662,2520,0.1281660054928288
37171,Surry,31768,3681,0.11587131704860237
37173,Swain,5754,805,0.13990267639902676
37175,Transylvania,14196,1518,0.10693153000845308
37177,Tyrrell,1180,241,0.20423728813559322
37179,Union,120938,11361,0.0939406968860077
37181,Vance,18177,1537,0.08455740771304396
37183,Wake,601289,31599,0.052552100570607475
37185,Warren,7084,719,0.10149632975719933
37187,Washington,3893,718,0.18443359876701773
37189,Watauga,26404,2065,0.07820784729586426
37191,Wayne,50428,6058,0.12013167288014595
37193,Wilkes,28568,2965,0.10378745449453934
37195,Wilson,34334,3368,0.09809518261781325
37197,Yadkin,16900,2076,0.12284023668639053
37199,Yancey,7696,904,0.11746361746361747
