year,stateabbr,statedesc,countyname,countyfips,locationname,datasource,category,measure,data_value_unit,data_value_type,data_value,low_confidence_limit,high_confidence_limit,totalpopulation,totalpop18plus,geolocation,locationid,categoryid,measureid,datavaluetypeid,short_question_text
2023,NC,North Carolina,Beaufort,37013,37013930502,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,%,Crude prevalence,26.0,21.2,31.5,3422,2719,"{'type': 'Point', 'coordinates': [-76.967802, 35.5499701]}",37013930502,RISKBEH,LPA,CrdPrv,Physical Inactivity
2023,NC,North Carolina,Buncombe,37021,37021001602,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,%,Crude prevalence,20.1,16.3,24.0,3480,3011,"{'type': 'Point', 'coordinates': [-82.5631461, 35.6595008]}",37021001602,RISKBEH,LPA,CrdPrv,Physical Inactivity
2023,NC,North Carolina,Carteret,37031,37031970101,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,%,Crude prevalence,27.0,22.4,32.2,863,752,"{'type': 'Point', 'coordinates': [-76.3524929, 34.8896386]}",37031970101,RISKBEH,LPA,CrdPrv,Physical Inactivity
2023,NC,North Carolina,Ashe,37009,37009970400,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,%,Crude prevalence,28.4,23.3,33.9,4360,3573,"{'type': 'Point', 'coordinates': [-81.5603804, 36.4436205]}",37009970400,RISKBEH,LPA,CrdPrv,Physical Inactivity
2023,NC,North Carolina,Bertie,37015,37015960200,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,%,Crude prevalence,32.4,27.2,37.7,3232,2580,"{'type': 'Point', 'coordinates': [-77.0430465, 36.1462992]}",37015960200,RISKBEH,LPA,CrdPrv,Physical Inactivity
2023,NC,North Carolina,Burke,37023,37023020204,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,%,Crude prevalence,26.6,22.0,31.7,2792,2264,"{'type': 'Point', 'coordinates': [-81.8008585, 35.8039948]}",37023020204,RISKBEH,LPA,CrdPrv,Physical Inactivity
2023,NC,North Carolina,Alamance,37001,37001021400,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,%,Crude prevalence,24.2,19.6,29.1,2668,2173,"{'type': 'Point', 'coordinates': [-79.4059533, 36.200065]}",37001021400,RISKBEH,LPA,CrdPrv,Physical Inactivity
2023,NC,North Carolina,Brunswick,37019,37019020304,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,%,Crude prevalence,19.6,14.8,24.8,8816,8392,"{'type': 'Point', 'coordinates': [-78.1053801, 33.9437461]}",37019020304,RISKBEH,LPA,CrdPrv,Physical Inactivity
2023,NC,North Carolina,Buncombe,37021,37021001801,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,%,Crude prevalence,24.9,20.4,30.0,3512,2971,"{'type': 'Point', 'coordinates': [-82.5226018, 35.6121842]}",37021001801,RISKBEH,LPA,CrdPrv,Physical Inactivity
2023,NC,North Carolina,Beaufort,37013,37013931001,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,%,Crude prevalence,29.2,24.5,34.0,2599,1974,"{'type': 'Point', 'coordinates': [-77.1378598, 35.4529722]}",37013931001,RISKBEH,LPA,CrdPrv,Physical Inactivity
2023,NC,North Carolina,Buncombe,37021,37021002102,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,%,Crude prevalence,23.0,19.0,27.9,5650,4474,"{'type': 'Point', 'coordinates': [-82.5161929, 35.5419974]}",37021002102,RISKBEH,LPA,CrdPrv,Physical Inactivity
2023,NC,North Carolina,Anson,37007,37007920600,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,%,Crude prevalence,35.0,29.7,40.4,3481,2837,"{'type': 'Point', 'coordinates': [-80.1191723, 34.8573699]}",37007920600,RISKBEH,LPA,CrdPrv,Physical Inactivity
2023,NC,North Carolina,Bladen,37017,37017950501,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,%,Crude prevalence,23.9,19.5,29.0,2278,1813,"{'type': 'Point', 'coordinates': [-78.7460135, 34.567994]}",37017950501,RISKBEH,LPA,CrdPrv,Physical Inactivity
2023,NC,North Carolina,Cabarrus,37025,37025042000,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,%,Crude prevalence,26.3,21.6,31.4,5698,4191,"{'type': 'Point', 'coordinates': [-80.6155081, 35.3758415]}",37025042000,RISKBEH,LPA,CrdPrv,Physical Inactivity
2023,NC,North Carolina,Buncombe,37021,37021002305,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,%,Crude prevalence,17.7,14.5,21.1,5967,4850,"{'type': 'Point', 'coordinates': [-82.6558325, 35.5074363]}",37021002305,RISKBEH,LPA,CrdPrv,Physical Inactivity
2023,NC,North Carolina,Brunswick,37019,37019020203,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,%,Crude prevalence,22.4,18.6,26.6,2396,1896,"{'type': 'Point', 'coordinates': [-78.0798768, 34.1352149]}",37019020203,RISKBEH,LPA,CrdPrv,Physical Inactivity
2023,NC,North Carolina,Brunswick,37019,37019020407,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,%,Crude prevalence,22.0,17.3,27.1,1918,1708,"{'type': 'Point', 'coordinates': [-78.2771826, 33.9247774]}",37019020407,RISKBEH,LPA,CrdPrv,Physical Inactivity
2023,NC,North Carolina,Catawba,37035,37035010404,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,%,Crude prevalence,23.9,19.3,29.0,2541,2078,"{'type': 'Point', 'coordinates': [-81.3124947, 35.753099]}",37035010404,RISKBEH,LPA,CrdPrv,Physical Inactivity
2023,NC,North Carolina,Alamance,37001,37001020502,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,%,Crude prevalence,31.9,26.8,36.7,4299,3101,"{'type': 'Point', 'coordinates': [-79.4515972, 36.1143709]}",37001020502,RISKBEH,LPA,CrdPrv,Physical Inactivity
2023,NC,North Carolina,Buncombe,37021,37021000900,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,%,Crude prevalence,30.4,25.4,35.9,3552,2967,"{'type': 'Point', 'coordinates': [-82.5582858, 35.5787019]}",37021000900,RISKBEH,LPA,CrdPrv,Physical Inactivity
2023,NC,North Carolina,Cabarrus,37025,37025042201,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,%,Crude prevalence,24.7,20.5,29.3,3033,2303,"{'type': 'Point', 'coordinates': [-80.5671878, 35.3804571]}",37025042201,RISKBEH,LPA,CrdPrv,Physical Inactivity
2023,NC,North Carolina,Carteret,37031,37031970301,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,%,Crude prevalence,25.2,20.6,30.3,4689,3805,"{'type': 'Point', 'coordinates': [-76.655385, 34.8294281]}",37031970301,RISKBEH,LPA,CrdPrv,Physical Inactivity
2023,NC,North Carolina,Ashe,37009,37009970501,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,%,Crude prevalence,24.0,19.6,28.7,3511,2919,"{'type': 'Point', 'coordinates': [-81.4475225, 36.4017373]}",37009970501,RISKBEH,LPA,CrdPrv,Physical Inactivity
