county_fips,county_name,population,pop_65_plus,pct_65_plus
37001,"Alamance County",171779,37805,22.01
37003,"Alexander County",36505,7180,19.67
37005,"Alleghany County",10989,1792,16.31
37007,"Anson County",22200,4438,19.99
37009,"Ashe County",26759,4523,16.90
37011,"Avery County",17679,2455,13.89
37013,"Beaufort County",44711,8748,19.57
37015,"Bertie County",17818,3038,17.05
37017,"Bladen County",29807,6045,20.28
37019,"Brunswick County",139721,20223,14.47
37021,"Buncombe County",269449,48538,18.01
37023,"Burke County",87799,16016,18.24
37025,"Cabarrus County",226396,57072,25.21
37027,"Caldwell County",80716,16024,19.85
37029,"Camden County",10547,2510,23.80
37031,"Carteret County",68353,11688,17.10
37033,"Caswell County",22747,4115,18.09
37035,"Catawba County",161011,35036,21.76
37037,"Chatham County",76754,14978,19.51
37039,"Cherokee County",28868,4646,16.09
37041,"Chowan County",13835,2716,19.63
37043,"Clay County",11186,1843,16.48
37045,"Cleveland County",99527,22037,22.14
37047,"Columbus County",50827,10491,20.64
37049,"Craven County",101098,21958,21.72
37051,"Cumberland County",335207,83590,24.94
37053,"Currituck County",28616,6340,22.16
37055,"Dare County",37160,6848,18.43
37057,"Davidson County",169498,36732,21.67
37059,"Davie County",43030,9007,20.93
37061,"Duplin County",49312,11692,23.71
37063,"Durham County",325101,65125,20.03
37065,"Edgecombe County",49067,11123,22.67
37067,"Forsyth County",383739,86954,22.66
37069,"Franklin County",69680,15086,21.65
37071,"Gaston County",228972,51134,22.33
37073,"Gates County",10509,2061,19.61
37075,"Graham County",8047,1637,20.34
37077,"Granville County",61161,12378,20.24
37079,"Greene County",20407,3890,19.06
37081,"Guilford County",539557,118288,21.92
37083,"Halifax County",48772,10366,21.25
37085,"Harnett County",134718,34387,25.53
37087,"Haywood County",62152,11103,17.86
37089,"Henderson County",116469,21666,18.60
37091,"Hertford County",21633,3879,17.93
37093,"Hoke County",52612,14283,27.15
37095,"Hyde County",4636,915,19.74
37097,"Iredell County",187839,42207,22.47
37099,"Jackson County",42388,7055,16.64
37101,"Johnston County",219042,54580,24.92
37103,"Jones County",9263,1713,18.49
37105,"Lee County",63560,15113,23.78
37107,"Lenoir County",55071,12359,22.44
37109,"Lincoln County",87933,18255,20.76
37111,"McDowell County",44629,8765,19.64
37113,"Macon County",37088,6600,17.80
37115,"Madison County",21414,3777,17.64
37117,"Martin County",21992,4460,20.28
37119,"Mecklenburg County",1115403,256136,22.96
37121,"Mitchell County",14989,2722,18.16
37123,"Montgomery County",25839,5486,21.23
37125,"Moore County",100759,21684,21.52
37127,"Nash County",95015,20820,21.91
37129,"New Hanover County",228134,41153,18.04
37131,"Northampton County",17528,3086,17.61
37133,"Onslow County",203686,49511,24.31
37135,"Orange County",145919,28026,19.21
37137,"Pamlico County",12317,1782,14.47
37139,"Pasquotank County",40454,8737,21.60
37141,"Pender County",61592,13603,22.09
37143,"Perquimans County",13053,2428,18.60
37145,"Person County",39131,8043,20.55
37147,"Pitt County",171196,36337,21.23
37149,"Polk County",19538,3070,15.71
37151,"Randolph County",144403,32055,22.20
37153,"Richmond County",43149,10043,23.28
37155,"Robeson County",117573,29302,24.92
37157,"Rockingham County",91209,18317,20.08
37159,"Rowan County",147067,32377,22.02
37161,"Rutherford County",64680,13072,20.21
37163,"Sampson County",59317,14375,24.23
37165,"Scotland County",34222,7762,22.68
37167,"Stanly County",62723,13486,21.50
37169,"Stokes County",44696,8286,18.54
37171,"Surry County",71429,14988,20.98
37173,"Swain County",14130,3196,22.62
37175,"Transylvania County",33131,5125,15.47
37177,"Tyrrell County",3389,579,17.08
37179,"Union County",240109,62486,26.02
37181,"Vance County",42492,10088,23.74
37183,"Wake County",1132103,264406,23.36
37185,"Warren County",18803,3385,18.00
37187,"Washington County",11051,2228,20.16
37189,"Watauga County",54540,6602,12.10
37191,"Wayne County",117480,27546,23.45
37193,"Wilkes County",66125,13239,20.02
37195,"Wilson County",78667,17924,22.78
37197,"Yadkin County",37280,7691,20.63
37199,"Yancey County",18538,3423,18.46
