FDID, Fire dept name, HQ addr1, HQ addr2, HQ city, HQ state, HQ zip, Mail addr1, Mail addr2, Mail PO box, Mail city, Mail state, Mail zip, HQ phone, HQ fax, County, Dept Type, Organization Type, Website, Number Of Stations, Active Firefighters - Career, Active Firefighters - Volunteer, Active Firefighters - Paid per Call, Non-Firefighting - Civilian, Non-Firefighting - Volunteer, Primary agency for emergency mgmt
"05112","50-210 Community Fire Department, Inc.","50 Greenleaf RD","","Angier","NC","27501-8732","50 Greenleaf RD","","","Angier","NC","27501-8732","919-894-4763","919-894-7590","Johnston","Mostly volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","https://50210fire.com/","2","3","40","0","0","0",""
"AH002","AASF#2 North Carolina Army National Guard Fire Department","1235 National Guard RD","","Salisbury","NC","28147-7948","1235 National Guard RD","","","Salisbury","NC","28147-7948","704-359-5823","","Rowan","Mostly volunteer","Federal government (Department of Defense fire department)","","1","1","6","0","0","0",""
"06341","Aberdeen Fire/Rescue","800 Holly ST","","Aberdeen","NC","28315","800 Holly ST","","","Aberdeen","NC","28315-3102","910-944-7888","910-944-9755","Moore","Mostly volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","2","31","0","34","1","0","Yes"
"02401","Acme-Delco-Riegelwood Fire-Rescue, Inc","100 John Riegel RD","","Riegelwood","NC","28456","","","PO Box 187","Riegelwood","NC","28456-0187","910-655-3380","","Columbus","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","http://adrfr.com/wp/","3","0","30","0","0","5","Yes"
"03012","Advance Fire Department","1869 NC Highway 801 S","","Advance","NC","27006","1869 NC Highway 801 S","","","Advance","NC","27006-6796","336-998-8181","336-998-2131","Davie","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","https://advancefire.ning.com/","2","0","38","14","0","14","No"
"03601","Agriculture Center Volunteer Fire Department","1428 Costner School RD","","Bessemer City","NC","28016","","","PO Box 474","Dallas","NC","28034-0474","704-922-7241","704-923-8372","Gaston","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","https://agcenterfire.net/","1","0","47","0","0","0","No"
"04601","Ahoskie Fire Department","","","Ahoskie","NC","27910","301 Dr Martin Luther King Jr DR S","","","Ahoskie","NC","27910-7605","252-332-3322","252-332-7781","Hertford","Mostly volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","5","25","0","0","0",""
"04610","Ahoskie Rural Fire Department","609 W Main ST","","Ahoskie","NC","27910","","","PO Box 43","Ahoskie","NC","27910","252-332-4011","","Hertford","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","0","26","200","0","6",""
"04101","Alamance Community Fire District, Inc.","4108 Presbyterian RD","","Greensboro","NC","27406","4108 Presbyterian RD","","","Greensboro","NC","27406-9004","336-697-0572","336-697-7392","Guilford","Mostly volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","2","6","40","0","0","0",""
"08704","Alarka Volunteer Fire Department Inc.","3601 Alarka RD","","Bryson City","NC","28713","","","PO Box 2028","Bryson City","NC","28713-5028","828-488-4144","828-488-4144","Swain","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","0","17","0","0","7","Yes"
"08401","Albemarle Fire Department","1610 E Main ST","","Albemarle","NC","28001","","","PO Box 190","Albemarle","NC","28002-0190","704-984-9700","704-984-9701","Stanly","Mostly career","Local (includes career, combination, and volunteer fire departments and fire districts)","","3","41","0","3","1","0","Yes"
"06721","Albert J. Ellis Airport Fire Department","264 Albert J. Ellis Airport RD","","Richlands","NC","28574","246 Albert J. Ellis Airport RD","","","Richlands","NC","28574","910-324-1100","910-324-1082","Onslow","Career","Regional/metropolitan transportation authority or airport fire department","","1","7","0","0","0","0","No"
"03101","Albertson Volunteer Fire Department","732 Sheep Pasture RD","","Albertson","NC","28508","","","PO Box 10","Albertson","NC","28508-0010","252-569-4552","252-568-4592","Duplin","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","0","40","0","0","0","Yes"
"03602","Alexis Volunteer Fire Department","PO Box 157","","Alexis","NC","28006","","","PO Box 157","Alexis","NC","28006-0157","704-263-5810","704-263-0073","Gaston","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","https://www.alexisvfd.com","2","0","40","0","0","0","No"
"01301","Allen Volunteer Fire Department","4000 US HWY 601 S","","Concord","NC","28025","4000 US HWY 601 S","","","Concord","NC","28025","704-782-5475","704-782-0768","Cabarrus","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","0","22","0","0","0",""
"09001","Allen's Crossroads Volunteer Fire Department","5408 White Store RD","","Wingate","NC","28174-8771","5408 White Store RD","","","Wingate","NC","28174-8771","704-624-5921","704-624-5577","Union","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","0","0","22","0","10",""
"07307","Allensville Volunteer Fire Department","1344 Dennys Store RD","","Roxboro","NC","27574","1344 Dennys Store RD","","","Roxboro","NC","27574-9596","336-597-9000","","Person","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","0","27","0","0","0","No"
"00101","Altamahaw-Ossipee Fire Department","2806 N NC Highway 87","","Elon","NC","27244","2806 N NC Highway 87","","","Elon","NC","27244","336-584-0526","336-584-4061","Alamance","Mostly volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","www.aofire.com","2","5","23","0","0","0","No"
"00913","Ammon Volunteer Fire Department","13084 NC HWY 242 N","","Elizabethtown","NC","28337","13084 NC HWY 242 N","","","Elizabethtown","NC","28337","910-588-4545","","Bladen","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","0","22","0","0","0",""
"04301","Anderson Creek Emergency Services","2980 Ray RD","","Spring Lake","NC","28390-7801","2980 Ray RD","","","Spring Lake","NC","28390-7801","910-497-0395","910-497-3891","Cumberland","Mostly volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","https://www.fire-ems.net/firedept/SpringLake/NC","1","4","0","36","1","4",""
"01709","Anderson Township Volunteer Fire Department","225 Baynes RD","","Burlington","NC","27217","225 Baynes RD","","","Burlington","NC","27217","336-421-3311","336-421-3311","Caswell","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","2","0","41","0","0","0",""
