zcta5,county_fips
,37015
,37019
,37029
,37031
,37041
,37053
,37055
,37095
,37129
,37133
,37137
,37139
,37141
,37143
,37177
,37187
27006,37059
27007,37171
27009,37067
27009,37169
27011,37197
27012,37057
27012,37067
27013,37097
27013,37159
27014,37059
27016,37169
27017,37171
27018,37197
27019,37067
27019,37169
27020,37097
27020,37193
27020,37197
27021,37067
27021,37169
27022,37169
27023,37067
27024,37171
27025,37157
27025,37169
27027,37157
27028,37059
27028,37097
27030,37169
27030,37171
27040,37067
27041,37169
27041,37171
27042,37169
27043,37067
27043,37169
27043,37171
27045,37067
27045,37169
27046,37169
27047,37171
27048,37157
27050,37067
27050,37169
27051,37067
27052,37067
27052,37169
27053,37169
27053,37171
27054,37159
27055,37059
27055,37097
27055,37197
27101,37067
27103,37067
27104,37067
27105,37067
27106,37067
27107,37057
27107,37067
27109,37067
27110,37067
27127,37057
27127,37067
27201,37001
27202,37001
27203,37151
27205,37151
27207,37037
27208,37037
27208,37125
27208,37151
27209,37123
27209,37125
27212,37033
27213,37037
27214,37081
27214,37157
27215,37001
27215,37081
27217,37001
27217,37033
27229,37123
27229,37153
27231,37033
27231,37135
27231,37145
27233,37081
27233,37151
27235,37081
27239,37057
27239,37151
27242,37125
27243,37135
27244,37001
27244,37033
27244,37081
27247,37123
27248,37151
27249,37001
27249,37033
27249,37081
27249,37157
27252,37037
27253,37001
27256,37037
27258,37001
27259,37125
27260,37081
27260,37151
27262,37057
27262,37081
27262,37151
27263,37081
27263,37151
27265,37057
27265,37067
27265,37081
27268,37081
27278,37063
27278,37135
27281,37123
27281,37125
27281,37153
27282,37081
27283,37081
27283,37151
27284,37057
27284,37067
27284,37081
27288,37157
27291,37033
27291,37145
27292,37057
27292,37151
27295,37057
27298,37001
27298,37037
27298,37081
27298,37151
27299,37057
27301,37081
27302,37001
27302,37033
27302,37135
27305,37033
27305,37145
27306,37123
27306,37153
27310,37081
27311,37033
27311,37157
27312,37001
27312,37037
27313,37081
27313,37151
27314,37033
27315,37033
27316,37151
27317,37081
27317,37151
27320,37033
27320,37081
27320,37157
27325,37125
27325,37151
27326,37033
27326,37157
27330,37037
27330,37085
27330,37105
27330,37125
27332,37085
27332,37105
27340,37001
27341,37123
27341,37125
27341,37151
27342,37081
27343,37033
27343,37145
27344,37037
27344,37151
27349,37001
27349,37037
27350,37151
27351,37057
27355,37037
27355,37151
27356,37123
27356,37125
27357,37081
27357,37157
27357,37169
27358,37081
27358,37157
27360,37057
27360,37151
27370,37151
27371,37123
27371,37151
27374,37057
27376,37125
27377,37081
27379,37033
27401,37081
27403,37081
27405,37081
27406,37081
27407,37081
27408,37081
27409,37081
27410,37081
27411,37081
27412,37081
27455,37081
27501,37085
27501,37101
27501,37183
27502,37037
27502,37183
27503,37063
27504,37085
27504,37101
27505,37085
27505,37105
27506,37085
27507,37077
27507,37181
27508,37069
27509,37077
27510,37135
27511,37183
27513,37183
27514,37135
27516,37037
27516,37135
27517,37037
27517,37063
27517,37135
27518,37183
27519,37037
27519,37183
27520,37101
27520,37183
27521,37085
27522,37077
27522,37183
27523,37037
27523,37183
27524,37101
27524,37191
27525,37069
27525,37077
27526,37085
27526,37183
27527,37101
27529,37101
27529,37183
27530,37191
27531,37191
27533,37191
27534,37079
27534,37191
27536,37181
27537,37069
27537,37181
27537,37185
27539,37183
27540,37037
27540,37085
27540,37183
27541,37033
27541,37135
27541,37145
27542,37101
27542,37191
27542,37195
27544,37069
27544,37077
27544,37181
27545,37183
27546,37085
27549,37069
27551,37185
27553,37181
27553,37185
27555,37101
27556,37181
27557,37069
27557,37101
27557,37127
27557,37195
27559,37037
27560,37063
27560,37183
27562,37037
27562,37183
27563,37181
27563,37185
27565,37077
27565,37145
27565,37181
27568,37101
27569,37101
27569,37191
